event_id,room_id
E:4DNDEXGRHX,0226_01_1.12
E:NWB3WXQO7X,0003_00_G.02
E:O3MNQTMIND,0228_04_4.18
E:QAJ5S1M5Z1,0003_01_1.01
E:B8LNTGG6SH,0226_-1_LG.11
E:PV31D19WPM,0226_01_1.07
E:UAXLJTIG8Y,0335_03_3.2
E:V5LOMFK4JG,0226_01_1.12
E:AK1HG4HEM9,0113_00_G.152
E:TH9CZCCEKY,0226_-1_LG.10
E:LE2O5GMWN9,0226_-1_LG.11
E:JJDAMA1PZ6,0226_-1_LG.18
E:A8W7CF6C3U,0226_01_1.07
E:4EI3ZPQXPA,0226_01_1.12
E:5G4SUWT4XA,0226_-1_LG.10
E:E2UVZIBEPY,0001_01_1.266
E:441UOUKKMI,0226_01_1.07
E:M3RN1RDX31,0335_02_2.2
E:8IXQWVAJ1N,0003_01_1.04
E:9T3K8G6NOE,0201_00_G.05
E:EPF89MAMCU,0226_01_1.07
E:42QT41GWT9,0131_04_4.07
E:VPAFGUGIC9,0226_01_1.07
E:NJYIM3BIF4,0008_02_2.365
E:TQ2I9EBEM7,0229_01_1.A
E:WKCXW29MQL,0113_01M_01M.19
E:PYGRX2YW4D,0226_01_1.07
E:XXY5K7ASOA,0335_02_2.2
E:FMRFJ9RVJB,0226_-1_LG.11
E:8OT73TN9U9,0201_02_2.14
E:9YQCRCU4VO,0555_00_G.1
E:NBI4C68MWH,0251_01_1.01
E:SCWAMZ9CYW,0113_00_G.204
E:TQL8DM4Y5C,0228_-1_LG.11
E:3VKG5HRJGZ,0226_-1_LG.11
E:Q23H36982M,0103_03_3.D02
E:2VG2PQGAC9,0226_01_1.07
E:5TRRL12PVF,0226_-1_LG.18
E:ISGQLRBMEJ,0225_02_2.201
E:AJ614IXKKH,0008_02_2.365
E:SBXQQQHSB8,0229_01_1.B
E:4AA7ZW7KER,0201_02_2.11
E:ESEWKPXAOD,0227_02_2.30
E:TY9DDLZQ7N,0113_03_3.3
E:U7JU5J6G8N,0201_00_G.05
E:2VHT2R3N3O,0228_-1_LG.08
E:YWWYDWBT8X,0300_00_NG.04
E:HCZEG61IQE,0226_01_1.12
E:26JEYY6L7M,0226_01_1.07
E:YGBS9N8OY3,0252_02_2.3
E:4EG17QYWFL,0616_02_02.02-E
E:G1S9H1MXIR,0201_01_1.02
E:JOQDQCMXVA,0113_00_G.152
E:LJNJN8UXNE,0201_02_2.05
E:S7WSALM7EM,0103_01_1.B10
E:ONZ4WN7PWC,0226_-1_LG.11
E:TQ7VZF6LSL,0226_01_1.12
E:ECN3Q7IB78,0226_-1_LG.11
E:1ZAOVRRXBS,0228_01_1.01
E:71JF1UN9DC,0226_01_1.12
E:XFA86TXQ5R,0229_01_1.A
E:YZGWVV63TY,0226_-1_LG.18
E:R5DSKANGO5,0226_-1_LG.10
E:R3S7SX8YQE-00001,0001_01_1.264
E:4BTQHTINO1,0226_01_1.12
E:61CL532MSR,0226_-1_LG.10
E:4PJBLUTYDQ,0252_01_1.2
E:GA8ZC4VE1T,0008_02_2.365
E:RBQFEWQOU5,0201_07_7.01
E:PNZ7WDWCAF,0226_-1_LG.11
E:DCYMFCAPG5,0335_02_2.2
E:T46LYKVFTI,0103_01_1.B04
E:4LW2SGTHOM,0226_-1_LG.10
E:RNJEK5IU1B,0226_-1_LG.14
E:2S8ONFUEF4,0005_-1_B.01
E:KJU92BDZ6X,0252_01_1.2
E:BNGDRBI549,0008_02_2.365
E:NSDUBR65OM,0226_-1_LG.10
E:VDJQPROYDV,0201_03_3.01
E:B9NV2FTR4Q,0201_00_G.05
E:3FPUHPK8XE-00002,0227_00_G.03
E:HPXRSE9FZ1,0201_07_7.01
E:NYI5TETS67,0003_01_1.03
E:HZI26TWLTY,0103_01_1.B15
E:HOQP84GGCI,0103_01_1.B09
E:X8XXE1CQUE,0225_02_2.201
E:4L7DBL2H68,0254_01_1.03
E:ID29M5UPAE,0001_01_1.264
E:NND9XM2ADC,0201_00_G.05
E:V32UM2U2EH,0113_01_1.425
E:P3BP2QE5XR,0113_00_G.07
E:JCR7WB1HPX,0226_01_1.12
E:CDAY6ZLXOS,0226_-1_LG.19
E:964AJFNE7F,0113_00_G.205
E:4MHKU5HWKI,0226_01_1.12
E:FSRGTYKSUX,0226_01_1.07
E:7SPYZLPBIJ,0252_01_1.2
E:DRVDJOMJIT,0201_00_G.05
E:EMDTQR6YHS,0252_01_1.2
E:EVR7ZISS9B,0201_03_3.01
E:JXGPDG2348,0113_00_G.152
E:4T9CQR572H,0103_01_1.B10
E:KX8O3TFPSV,0201_00_G.05
E:Z7PXZPU77P,0252_01_1.2
E:OMBZBU9NCT,0113_00_G.152
E:G9G2UD6YRU,0113_00_G.203
E:1TUET1TY94,0226_00_GF.14
E:CLHXEML72P,0252_01_1.2
E:LFG8WHJYDJ,0003_00_G.01
E:9G2K3GEPX8,0591_-1_B1.11
E:ZR84K3DTIJ,0226_-1_LG.19
E:ZUWQD2N38K-00001,0113_00_G.204
