description,capacity,building,building_1,campus,central_local,room_type,specialist_room_type,has_a_24_5_event,room_id,capacity_source
G.21 Mechanical Engineering Laboratory,21.0,601,Eng Sanderson Building,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0601_00_G.21,rooms_table
Classroom 2,75.0,601,Eng Sanderson Building,Kings Buildings,Locally Allocated Space,Specialist Room,General Teaching,Yes,0601_00_G.41,rooms_table
Classroom 3,24.0,601,Eng Sanderson Building,Kings Buildings,Locally Allocated Space,Specialist Room,General Teaching,Yes,0601_00_G.45,rooms_table
Chemical Engineering Laboratory - 30cap,30.0,601,Eng Sanderson Building,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0601_00M_G.11(M),rooms_table
Chemical Engineering Laboratory - First Year Laboratory,20.0,601,Eng Sanderson Building,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0601_00M_G.15(M),rooms_table
TLG,48.0,615,Fleeming Jenkin,Kings Buildings,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0615_00_G.164,rooms_table
Light Structures Teaching Lab,12.0,615,Fleeming Jenkin,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0615_00_G.165,rooms_table
Electrical Machines and Power Systems,20.0,615,Fleeming Jenkin,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0615_00_G.168,rooms_table
TLF,65.0,615,Fleeming Jenkin,Kings Buildings,Locally Allocated Space,Specialist Room,Computer Laboratory,Yes,0615_01_1.196B,rooms_table
TLA - Kivlin Suite,40.0,615,Fleeming Jenkin,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0615_01_1.197,rooms_table
TLB - Kivlin Suite,40.0,615,Fleeming Jenkin,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0615_01_1.198,rooms_table
TLD - Kivlin Suite,40.0,615,Fleeming Jenkin,Kings Buildings,Locally Allocated Space,Specialist Room,Laboratory,Yes,0615_01_1.2,rooms_table
Lecture Theatre 201,135.0,633,Geology/Geophysics (Grant Institute),Kings Buildings,Centrally Allocated Space,Lecture Theatre,General Teaching,Yes,0633_01_1.201,rooms_table
